College Name,Address,District,Website,Email address,Contact Number,TPO name,TPO contact number
"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat,  Mumbai","Village At.Mamdapur, Post- Neral, Tal- Karjat,  Dist.Raigadh",Raigad,www.driems.in,sumaneducationaltrust@gmail.com,651806,Mr. Jalindar Shinde,651806
"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai
","Survey no. 267, Near Commisioner's Bungalow,Kanakiya Park,Mira Road (E)Thane",Thane,www.slrtce.in,slrtce@rahuleducation.com,28120145,hubale santosh,28120144
"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.","At.Karav, Post Vangani(w), Tal. Ambernath, Dist. Thane ",Thane,www.brharnetc.edu.in,jsiddhivinayakf@gmail.com,2910193,Shailesh,2910190
"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel","Plot No.2, 3 Sector - 16, Khandgaon, Thane Naka, Panvel Dist. Raigad ",Raigad,www.aiktc.org,aiktc.newpanvel@gmail.com,27481249,Dr. Jamil Daud,27481247
"G.M.Vedak Institute of Technology, Tala, Raigad.","At Post Taluka. Tala, Dist. Raigad ",Raigad,www.gmvit.com,gmvedakit@gmail.com,269004,Prof. Satish Jadhav,269004
"Universal College of Engineering,Kaman Dist. Palghar","Kaman Bhiwandi Road, S.N. 146(Part), Kaman, Vasai",Palghar,www.ucoe.edu.in,moses.lopes@universal.edu.in,2210044,Mr. Moses Lopes,69624580
"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.","At Post Velneshwar, Hedvai-Guhagar Road, Guhagar,Ratnagiri.",Ratnagiri,www.vpmmpcoe.org,info@vpmmpcoe.org,9527634958,Mr. Ravindra Rasal,243101
"Ideal Institute of Technology, Wada, Dist.Thane","40, Pasheri Village, Pimplaj road, Taluka Wada, Dist.Thane. ",Palghar,www.idealwada.com,idealinstituteoftechnology13@gmail.com,212144,Mr. Jugal Mehra ,212144
"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad","Survey No. 52 Kumbhivali, On Mumbai-Pune Expressway, Near Khalapur Toll Naka ,Tal-Khalapur, Dist- Raigad",Raigad,www.vishwaniketan.edu.in,mail.vishwaniketan@gmail.com,274210,Mr. H. R. Mavkar,274206
"New Horizon Institute of Technology & Management, Thane","Anand Nagar, Kavesar, Off. Ghodbunder Road, Thane(W)",Thane,www.nhitm.ac.in,principal@nhitm.ac.in,25971778,Mr. Rupesh Pethe,25971778
"Government College of Engineering, Chandrapur","Ballarsha Bypass Road,Chandrapur ",Chandrapur,www.gcoec.ac.in,gcoechandrapur@gmail.com,230299,Smt. S. R. Bhagwat,230478
"Laxminarayan Institute of Technology, Nagpur","L.I.T.Premises, Opposite Bharatnagar, Amravati Road, Nagpur",Nagpur,www.litnagpur.in,rajumankar@gmail.com,2531659,Dr. Vinayak Deshpande,2561107
"Lady Amritbai Daga College for Women of Arts, Comm & Sci &  R.Purohit College of H.Sci & H. Sc. Technology, Nagpur","Department of HMCT, L.A.D.  & Smt. R.P.College for Women,  Seminary hills, Shankar Nagar,Nagpur ",Nagpur,hmct.ladcollege.in/,lad_hmct@yahoo.com,2246623,Deepika Reddiwar,2512336
"Government Institute of Hotel Management & Catering Technology, Nagpur","Govt. Polytechnic Campus, Nagpur , 440001",Nagpur,www.gihmctngp.org,principahmct_ngp@hotmail.com,2542725,V. D. Pohane,2544355
"Government College of Engineering, Nagpur","Sector-27, Mihan Rehabilitation Colony, Khapari, Nagpur",Nagpur,www.gcoen.ac.in,office.gcoenagpur@dtemaharashtra.gov.in,202011,MR.N. H. BHUJADE,202012
"Shree Shivaji Education Society, Dr. Panjabrao Deshmukh Institute of Management Technology & Research, Nagpur","Dept. of Dhanwate National College, Congress Nagar Opp. Ajni Rly Station  Nagpur , 440012",Nagpur,www.pdimtr.ac.in,pdimtrdnc@gmail.com,2522759,Ashok Chandan,2445356
"Kavi Kulguru Institute of Technology & Science, Ramtek","K. K. Nagar, Ramtek, Nagpur - 441 106  ",Nagpur,www.kits.edu,principal@kits.edu,255047,Dr. B. Ram Rathan Lal,255309
"GES Department Of Management Technology N.M.D.PG College Of Arts, Commerce, Law & Management, Gondia ","Ramnagar, Gondia   441614",Gondia,www.nmdcgmmba.co.in,dmtr.nmd@rediffmail.com,252634,ARVIND TONDTRE,252682
"Shri Ramdeobaba College of Engineering and Management, Nagpur","Gittikhadan, Katola  Road, Nagpur",Nagpur,www.rknec.edu,deanadmissions@rknec.edu,2583239,Prof. Nikhil Shirish Damle,2580011
"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur","C.R.P.F. Gate No.3, Digdoh Hills, Hingna Road, Nagpur ",Nagpur,www.ghrce.raisoni.net,principal.ghrce@raisoni.net,9881713575,Dr Sanjay Dorle,9604787184
G.H. Raisoni Institute of Information Technology," 37-39/1, SHRADDHA PART, OFF HINGNA-WADI LINK ROAD, MIDC, NAGPUR, MAHARASHTRa 440028",Nagpur,ghriit.raisoni.net,ghriitnag@raisoni.net,236102,Mr. Sushil J. Jadhav,236102
"Bapurao Deshmukh College of Engineering, Sevagram","P.O.Sevagram,Dist-Wardha",Wardha,www.bdce.edu.in,princi.bdces@gmail.com,284030,Mr.G.D.Dhawale,284378
"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur ","Near CRPF Campus, Hingna Road, Nagpur ",Nagpur,www.pcenagpur.edu.in,mpsingh3712@rediffmail.com,244285,Mr. Vijay Athalye,244381
"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur","Near Dighori Naka, Umrer Road, Bhadura, Nagpur",Nagpur,www.srpce.ac.in,admin@srpce.ac.in,663603,Mr. Satish Lanjewar,663603
"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur","Khasara No-94,95&164/1,Mauza Dahegaon,Opposite IOC Prtrol Pump,Kalmeshwar, Nagpur",Nagpur,www.gniet.ac.in,gnietnagpur@gmail.com,661400,Mr. Shital V. Likhar,661400
"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &  Technology, Nagpur","Survey No. 148/149, Salai Godhani, Near Chikna Village, Hudakeshwar Road, Nagpur",Nagpur,www.gwcet.ac.in,gwcet@rediffmail.com,2742308,Mr. Pankaj Kohale,2742308
"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur","846, Nandanvan, Nagpur ",Nagpur,www.jlcce.ltjss.net,principaljlcce@gmail.com,2712490,Mrs.A.V.Kature,2711505
"Jaidev Education Society, J D College of Engineering and Management, Nagpur ","At Khandala, Post Vaini Katol Road, Nagpur",Nagpur,www.jdcoem.ac.in,principal@jdcoem.ac.in,2682619,Dr Ujwala S Dange,2023003
"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur","Kh. No.72, 68/1, 68/2, 68/3, Lonara Dist. Nagpur",Nagpur,www.jit.org.in,admin@jit.org.in,2668235,Mr. SUMEET CHANDEGAVE,2668233
"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur","MIDC, Near Facor, Higna Wadi Road, Nagpur ",Nagpur,www.ghrietn.raisoni.net,ghrietn@raisoni.net,234501,Prof. M.J. Katira,234501
"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur","Sr. No.13/2, Mahurzari, Katol Road, Taluka & Dist Nagpur ",Nagpur,www.nit.edu.in,registrar@nit.edu.in,9881711787,Sandeep Kale,9881711787
"Wainganga College of Engineering and Management, Dongargaon, Nagpur","Dongargoan, Near Gumgaon Railway Station, Post - Gumgaon, Wardha road, Nagpur",Nagpur,www.wcem.in,wcem4145@gmail.com,202007,Mr. R P Madankar,203728
"KDK College of Engineering, Umrer, Nagpur","State Highway No.9, Opp. W. C. L., Umrer Project, Umrer, Nagpur",Nagpur,www.ucoe.org.in,dratulcwaghmare@rediffmail.com,247823,Mr. Ajay  Dhanvijay,247317
"K.D.K. College of Engineering, Nagpur"," Great Nag Road, Nandanvan, Nagpur",Nagpur,www.kdkce.edu.in,kdkce4147@gmail.com,2711400,Anant B. Bute,2710030
"Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College of Engineering & Technology, Nagpur","Kh. No. 8/1, Mohgaon,Wardha Road,Nagpur ",Nagpur,www.tgpcet.com,vidarbhabuss@yahoo.co.in,6648252,SANDEEP PALSODKAR,645410
Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,Ballarpur Road Babupeth Dist. Chandrapur,Chandrapur,www.rcert.ac.in,principal@rcert.ac.in,225286, R. S. Chilbule,225168
"Gondia Education Society's Manoharbhai Patel Institute of Engineering and Technology, Gondia","Kudwa,  Dist. Gondia ",Gondia,www.mietgondia.in,principal_miet@rediffmail.com,252158,Mr. W.N.Sahare,252033
"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur","Hingna Road, Wanadongri, Nagpur  441110",Nagpur,www.ycce.edu,principal@ycce.edu,329250,DR. P. K. DAKHOLE,242919
"Lokmanya Tilak Jankalyan Shikshan Sanstha's , Priyadarshini Institute of Engineering and Technology, Nagpur","Mouza Shivangaon , Khasara, 1/1A, 1909/12C, Near CRPF Campus, Hingna Road, Nagpur",Nagpur,www.piet.ltjss.net,viveknanoti@gmail.com,244470,Mr. Abhaykumar Das,244463
"Anjuman College of Engineering & Technology, Nagpur","Mangalwari Bazar Road, Sadar, Nagpur",Nagpur,www.anjumanengg.edu.in,eng_acet@rediffmail.com,2583559,Aamir Siddiqui,6604502
"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha","Agnihotri College Campus, Bapujiwadi, Ramnagar, Wardha ",Wardha,www.sspace.ac.in,agisspace2007@gmail.com,232552,MR.GAJANAN DANDADE,250007
"Priyadarshini Bhagwati  College of Engineering, Harpur Nagar, Umred Road,Nagpur","Harpur Nagar, Umrer Road, Nagpur",Nagpur,www.bcce.ltjss.net,principalpbcoe@gmail.com,2710281,Mr. V. D. Barapatre,2710282
"Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College of Engineering, Nagpur ","Opp. Lata Mangeshkar Hospital, Hingana Road, Nagpur",Nagpur,www.pice.ltjss.net,pigce.principal@gmail.com,232545,Mr. Sachin Khedikar,232545
"KDKs Shrimati Rajashri Mulak College of Engineering for Womens, Nagpur","KDK College Campus, Great Nag Road, Nandanvan, Nagpur ",Nagpur,www.srmcew.edu.in,principal_srmcew@yahoo.com,2716411,Mr. H V Sondawale,2714750
"Sarvasiddhanta Education Soc's Nuva College of Engineering and Technology, Nagpur","146,149,150 & 153,Nagpur Katol Highway, Khapri(Kothe),Tal.Kalmeshwar, Nagpur",Nagpur,www.nuvaedu.com,infonuva@gmail.com,0,Abhijeeth Nair,661105
"Shree Bapuraoji Deshmukh Foundation, Suresh Deshmukh College of Engineering, Selukate, Wardha","Selukate, Survey No. 161, Mauje Selu Kate, Dist. Wardha ",Wardha,www.sdce.edu.in,princi.sdces@gmail.com,282333,Mr. K.D. Fartade,282533
"Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongri, Nagpur","Wanhadongri, Hingna Road, Nagpur ",Nagpur,www.svsscer.edu.in,svssngp@gmail.com,242406,Mrs.Lucky Chandekar,242406
"Sardar Patel Memorial Society's Namdevrao Poreddiwar College of Engineering and Technology, Gadchiroli","At Mouza Boldi, Dhanopra Road, Tal & Dist. Gadchiroli",Gadchiroli,www.npcet.ac.in,principal.ncet@gmail.com,237862,Vinod Dhamange,237861
"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati
","Near Village Lonara, Nagpur Road, Badravati Dist. Chandrapur ",Chandrapur,www.sscet.in,mdyergude@yahoo.com,230723,MR.J.S. TRIPATI,230723
"Nav Disha Education Soc, Acharya Vinoba Bhave Institute of Technology ,Mauza-Pawnar,Wardha","At Post Pavanar, Dist. Wardha",Wardha,www.abvit.org,avbit2008@rediffmail.com,93733950,Pradip umate,93733950
"Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad – Patil College of Engineering, Nagpur","Khasara No.8/1, Mohgaon, Wardha Road, Tal. & Dist. Nagpur",Nagpur,www.agpce.com,vidarbhabuss@yahoo.co.in,6648252,Liladhar Bawane,645412
"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur","Dahegaon, Kalmeshwar Road, Nagpur",Nagpur,www.gniem.ac.in,gniemnagpur@gmail.com,2234333,Shri. Rajendra Khobe,661450
"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)
","Nagthana Road, Near Bypass Highway Road, Sindhi (Meghe). Wardha ",Wardha,www.agnihotrigroup.org,ajayshelke.000@rediffmail.com,240527,Gajanan A. Dandade,250152
"Yugantar Education Society's Shri Balasaheb Tirpude College of Hotel Management & Catering Technology,Nagpur","Shri Nasikraoji Tirpude Marg,Civil Lines ,Sadar, Nagpur",Nagpur,www.tirpudehmct.org,tirpudehmct@gmail.com,2550032,VINOD MESHRAM,2550695
"Jai Mahakali Shikshan Sanstha's Agnihotri School of Technology, Ramnagar, Wardha","Ramnagar, Wardha , 442001",Wardha,www.astwardha.in,ast695@rediffmail.com,252888,Mr. Amol V. Nandedkar,252888
"Late Madhukarrao Deshmukh Education Soceity's Avdhoot Diploma College Of Engineering, Mouza, Bhojapur","Mauza Bhojapur, P.H. No.115, Sur. No.6, Kuhi, Nagpur 400001",Nagpur,lmdes.org.in,avdootpoly@rediffmal.com,220021,Nitin Madhukarrao Deshmukh,220021
"Krushna Sahayogi Tantra Shikshan Sanstha, Chatrapati Shivaji Institute Of Technology, Deori, Gondia","Shivaji Campus,At.Post.Th.Deori(Chichgadh Road) Gondia , 441901",Gondia,www.kstsscsit.org,kstsscsit@rediffmail.com,225631,Chittaranjan girhepuje,225631
"Sikh Education Society's Gurunanak Technical Institute of Pharmacy, Nagpur","Mauza Nari, Near Dixit Nagar, Kh. No. 81/1, C.P. Foundry,Pili Nadi Nagpur , 440026",Nagpur,www.gntinagpur,gnti1983@yahoo.com,2242017,Harmindersingh Huda,2633854
" V M Institute of Engineering and Technology, Dongargaon, Nagpur","Dhutte village , Near Dongargaon, Wardha Road, Nagpur",Nagpur,www.vmit.org.in,vmietnag@gmail.com,645689,Liladhar Bawane,6650243
"ITM College of Engineering, Nagpur","Near Madhi Mandir, Ghorpad Road, Kamptee, Dist-Nagpur",Nagpur,www.itmnagpur.ac.in,prasadv@itmnagpur.ac.in,9881713211,P.R.Velankar,7109270273
"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara ","N.H.6 Shahapur,Bhandara",Bhandara,www.mietbhandara.ac.in,principalmietb@rediffmail.com,7709967710,CHAKRADHAR KAHALKAR,9975591177
"Vidya Niketan Institute of Engineering and Technology, Nagpur","At. Post : Gondkheri. Tah.: Kalmeshwar, Dist.: Nagpur",Nagpur,www.vniet.org,principal@vniet.org,277088,Prof. S. D. Ninawe,277088
"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur","Mouje Sukhali (Gupchup), Tal. Hingna  Dist. Nagpur",Nagpur,www.cumminscollege.edu.in,office@cumminscollege.edu.in,94230551,Mr. Pradeep  Joshi,96576670
"G.H.Raisoni Academy of Engineering & Technology, Nagpur","Shraddha Park, Off Hingna-Wadi Link Road, Nagpur",Nagpur,www.ghraet.raisoni.net,ghraetnag@raisoni.net,237688,Prashant Awachat,237688
"Indian Instiutute of Fire Engineering, Nagpur","Makardhokda Katol Road,Near VeerChakra Colony, Nagpur  440013",Nagpur,www.firecollegenagpur.in,fireinstitute96@gmail.com,2570733,milind chimurkar,2574129
"Maharashtra Shikshan Prasarak Mandals,Sommaya Diploma In Engineering, Wadgaon Dist Chandrapur",Wadgaon Dist Chandrapur   442402,Chandrapur,www.somayyapolytechnic.com,somayyamspm@gmail.com,271252,Rajesh.P.Bisan,271232
"Navneet Bahuuddeshya Sanstha, Kinkar Institute Of Technology,Seloo,Dist.Wardha","Rehnki Road,Seloo,Dist.Wardha ",Wardha,www.kitseloo.org,principal.kit4612@gmail.com,220240,Mr.Dipak.Dhodre,220240
"Suryodaya College of Engineering & Technology, Nagpur
","Survey No. 117/1 & 117/3 A, Vihirgaon, Nagpur ",Nagpur,www.scetngp.com,scetngp@gmail.com,276282,Mr. Manoj N. Guhe,276282
"Bajaj Institute of Technology, Wardha","Arvi Road, in Front of Ramkrishna Bajaj Agriculture College, Pipri, Wardha ",Wardha,www.bit.shikshamandal.org,shikshamandal@gmail.com,9823382851,Mr. Parag Kombe,255770
"University Institute  of Chemical Technology, North Maharashtra University, Jalgaon  ","P.B.No. 80, Umavinagar, Jalgaon",Jalgaon,www.nmu.ac.in,jbnaik@nmu.ac.in,2258181,Prof. S. A. Raut,2257441
"Government College of Engineering, Jalgaon","Opp.Govt  I.T. I. National Highway No-6, Jalgaon ",Jalgaon,www.gcoej.ac.in,princoej@rediffmail.com,2281522,Smt. S A Patil,2281522
"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule","SSVP Sansthas B S Deore College of Engineering ,M.B.A.Department, Dhule",Dhule,www.ssvpsengg.ac.in,princi.ssvps@gmail.com,284300,Prof. Kunal S. Patil,272713
"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon ","Bambori, Dharangaon,  Jalgaon ",Jalgaon,www.sscoetjalgaon.ac.in,sscoetjal@gmail.com,2252989,Mr. Y.K. Chitte,2258393
"G.H. Raisoni Institute of Engineering and Management, Jalgaon","Gat No. 57/1, Shirsoli Road, At. Post- Mohadi Tal. & Dist. Jalgaon, ",Jalgaon,www.raisoni.net,prabhakar.bhat@raisoni.net,2264882,Arun Daulatrao Patil,2264881
"K. C. E. Societys College of Engineering and Information Technology, Jalgaon ","C.S. No. 7480 and 7323, Behind D.I.C., N.H.No.6,  IMR Campus, Jilha Path, Jalgaon",Jalgaon,www.coeit.kces.in,coeit.inquiry@gmail.com,2242026,Prof. Sanjay R Sugandhi,2242025
"Shri Gulabrao Deokar College of Engineering, Jalgaon","Gat No. 56,  P.B. NO. 113, Shirsoli Road, Jalgaon ",Jalgaon,www.sgdcoejalgaon.org,principal@sgdcoejalgaon.org,2264873,Shashikant B Patil,2264871
"Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering, Nashik","Udoji Maratha Boarding Campus, Near Pumping Station, Gangapur Road, Nashik",Nashik,www.kbtcoe.org,principal@kbtcoe.org,7378497999,Mrs. Shrushti J. Shinde,2571439
"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik","At Post mahiravani, Trimbak Road Dist Nashik",Nashik,www.sandipfoundation.org,principal@sitrc.org,222551,Mrs. Aruna Aher,222551
"Nashik District Maratha Vidya Prasarak Samaj's Institute of Management Research & Technology, Nashik","M. V. P. Campus, Gangapur Road, Shivaji Nagar, Nasik  422002",Nashik,www.imrt.ac.in,imrt_mba@yahoo.co.in,2571650,Aher U.B.,2571650
"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon ","At. Post Babulgaon, Tal Yeola, Nashik",Nashik,www.sndcoe.ac.in,sndcoe.principal@gmail.com,225011,Prof I. R. Shaikh,225012
"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik","At / Po Chincholi, Tal. Sinnar, Nashik",Nashik,www.svitnashik.in,svit.nashik@pravara.in,271261,Mr. Ghuge S L,271278
"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik","Anjaneri Village, Trimbakeshwar, Dist.Nashik 422103",Nashik,www.brahmavalley.com,princi.bvcoe@gmail.com,2464691,Mr. Pagar Samadhan S.,220202
"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar."," A/P.Loni, Tal.Rahata  Dist.Ahmednagar ",Ahmednagar,www.pravaraengg.org.in,principal@pravaraengg.org.in,273204,Mr. B. M. Pansare,273204
"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon","Sahajanand Nagar, Po : Shingnapur, Tal : Kopargaon, Dist. Ahmednagar ",Ahmednagar,www.sanjivanicoe.org.in,principalcoe@sanjivani.org.in,222469,Shri K.M. Bhavsar,9130191301
"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar","vadgaon Gupta, Vilad Ghat, P.O.-MIDC, Ahmednagar ",Ahmednagar,www.enggnagar.com,prin_coea@yahoo.com,2779496,Mr. A.T.Bhosale,2777296
"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner","P.O.: Sangamner Sakhar Karkhana, Tal : Sangamner, Dist. Ahmednagar",Ahmednagar,www.avcoe.org,principal@avcoe.org,259148, Prof. V. P. Waghe,259096
"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar","Poojya Sane Guruji Vidya Prasarak Mandal's, D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",Nandurbar,www.coeshahada.ac.in,principal@coeshahada.ac.in,229649,Shri. D. N. Patil,229649
"Sanjay Education Society's College of Engineering, Navalnagar","Navalnagar, Tal & Dist. Dhule ",Dhule,www.sescoe.org,coenavalnagar@gmail.com,260245,Prof. P. R. Gawande ,260238
"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur","Jivram Nagar, ,Nhavi Marg, PO:Faizpur(MSSK),  Dist. Jalgaon ",Jalgaon,www.jtmcoef.ac.in,jtmcoef@rediffmail.com,248179,Pradip Vishnu Chaudhari,248256
"Nagaon  Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule","Nagaon At Post. Nagaon, Tal&Dist.  Dhule",Dhule,www.gangamaiengg.org,nagaonengg@rediffmail.com,243000,Shri. J. F. Patil,243170
"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal","Near Z.T.C Bhusawal, Dist. Jalgaon",Jalgaon,www.ssgbcoet.com,rps125@rediffmail.com,221719,Dr R P Singh,221719
"Godavari Foundation's Godavari College Of Engineering,  Jalgaon","Plot No.51, Dr. Ulhas Patil Nagar, Additional MIDC, Bhusawal Road, N.H.No.6, Jalgaon",Jalgaon,engg.godavarifoundation.org,gcoe2008@gmail.com,2213500,Ishwar Shenfadu Jadhav,2212999
"R. C. Patel Institute of Technology, Shirpur","Near Nimzari Naka, Shirpur Dist. Dhule",Dhule,www.rcpit.ac.in,registrar@rcpit.ac.in,259600,Prashant Mahajan,259600
"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering,  (Jain Gurukul), Neminagar,Chandwad,(Nashik)","Jain Gurukul, Neminagar, Chandwad Dist.  Nashik",Nashik,www.snjb.org,principalcoe@snjb.org,253752,Mr. Jadhav M M,205527
"G. H. Raisoni College of Engineering and Management, Ahmednagar","G.No.1030, At/Post-Chas,Nagar-Pune Road, Ahmednagar",Ahmednagar,ghrcemahm.raisoni.net,ghrcemahm@raisoni.net,2570123,Mr.Sunil R.Dhobe,2570123
"Matoshri College of Engineering and Research Centre, Eklahare, Nashik","At Post Eklahare, Taluka & District Nashik",Nashik,www.mcoerc.org,gkkharate@rediffmail.com,2406600,Mr. Nagare Baban .T.,2406600
"Vishwabharati Academy's College of Engineering, Ahmednagar","Sarola Baddi ,Jamkhed Road ,  Ahmednagar",Ahmednagar,www.vacoea.com,principal_vacoea@yahoo.com,2660033,Mr.Bargale R.P.,2660033
"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik","Sapkal Knowldege Hub,Kalyani Hills, Anjaneri- Wadholi, Tal. Trimbak, Nashik",Nashik,www.sapkalknowledgehub.org,gns_engineering@sapkalknowledgehub.org,220175,Mrs. shrushti J. Shinde,220175
"Shri Chhatrapati Shivaji College of Engineering, (Rahuri Factory), Tal.Rahuri, Dist.Ahmednagar","Shree Shivaji Nagar (Rahuri Factory), Tal. Rahuri,  Dist. Ahmednagar ",Ahmednagar,www.scscoe.org,scsc_eng@yahoo.in,9156532111,Shri. Adhav Yogesh Janardhan,251200
"A.J.M.V.P.S. Institute of Hotel Management & Catering Technology College, Ahmednagar","Lal Taki Road, Near Law College, Ahmednagar",Ahmednagar,www.ihmct.in,ihmctajmvps@gmail.com,2326778,Idhate P. B.,2326778
"Mahatama Gandhi Vidyamandir's College of Hotel Management & Catering Technology , Nashik","Mumbai-Agra Highway, Panchavati, Nashik",Nashik,www.mgv.edu/hmct,mgvihmct@rediffmail.com,2628281,Aashok Ghumare,2628281
"Pravara Rural Education Society's Padmashri Dr. Vittalrao Vikhe Patil Institute of Technology and Engineering Polytechnic ,Pravaranagar","A/P Loni Bk.-413 713, Taluka Rahata,Ahmednagar  413736",Ahmednagar,www.pravara.in,principal.polyloni@pravara.in,273484,Shri. P.J. Dangat,272151
"Mgts Mandal's Sharadchandrika Suresh Patil Institute Of Technology(Polytechnic), Chopda","Yawal Road, Chopda Jalgaon , 425107",Jalgaon,www.polychopda.org,0061principal@msbte.com,222100,Shri.P.A.Deshmukh,222100
"Shree Sant Muktabai Sansthan's Shri Sant Muktabai Institute of Technology, Jalgaon","B.J Nagar Pimparala Road, P.Box No 132, Jalgaon , 425001",Jalgaon,www.muktaieducation.org,smitcollegejalgaon@gmail.com,2250776,Patil Diwakar Jijabrao ,2250500
"Technical & Medical Education Society's J. T. Mahajan Polytechnic, Faizpur","Nhavimarg, Faizpur Jalgaon , 425524",Jalgaon,www.jtmpoly.ac.in,jtmpfaiz@gmail.com,248556,Shri.Ramanlal Ghanashyam Mahajan,248156
"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik","Bhujbal Knowledge City, Adgaon ,Nashik 422003",Nashik,www.metbhujbalknowledgecity.ac.in,principal_iot@bkc.met.edu,2555825,S. N. PILLAI,2555825
"Kai. Vanjibaba Gramin Vikas Mandal, Shantidevi Chavhan Institute of Engineering & Technology, Chalisgaon","Survey No. 94/3/1 & 2, At Post Bhoras, Tal Chalisagtion,  Jalgaon , 424101",Jalgaon,www.sscpolycsn.com,1004principal@msbte.com,257357,PATIL S.H.,257356
"Trimurti Shikshan Prasarak Mandal, Trimurti Institute Of Technology, Paladhi Bk, Jalgaon","Survey No.227/2, Paldhi Bk, Next To North Maharashtra University, Tal-Dhamangaon, Dist:Jalgaon ",Jalgaon,www.tspmjalgaon.com,manojpatil9737@rediffmail.com,202292,manoj patil,202292
"The People Education Society's, Diploma College Of Enggineering & Technology,Jamkhed","Behind Police Line,Jamkhed Dist. Ahmednagar  413201",Ahmednagar,www.pesjamkhed.com,pesdcet@gmail.com,221222,Dahale S.H,221233
"Kisan Dnyanoday Mandal Gudhe's Dr. Uttamrao Mahajan Institute Of Engineering & Technology,Chalisgaon, Jalgaon","Gat No.140 2 A/1,140 2 A/2, Aurangabad Byepass Road, Chalisgaon Dist-Jalgaon 424101",Jalgaon,www.kdmgsinstitutions.co.in,1178principal@msbte.com,202252,Dr. H. U. Mahajan,202252
"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik","Dhanore Tal.Yeola, Dist.Nashik  423401",Nashik,www.mityeola.in,mityeola@gmail.com,267560,Mr.R P Phad,267561
"Mahatma Gandhi Vidyamandir's Institute Of Industrial & Pharmaceutical Technology, Nashik","MUMBAI-AGRA HIGHWAY, PANCHAVATI, NASHIK-422003 ",Nashik,www.mgv.org.in,mgv.iipt@gmail.com,2628201,Mr Ravindra Vishwanath Sonar,2511931
